trans_id,inv_id,inv_result,truth
30/11/2018-14:39 2.1.34 9159/dhika/01,2.1.349159/dhika/01,2.1.349159/dhika/01,True
30/11/2018-07:08 2.1.34 915701/totok p/02,2.1.34915701/totokp/02,2.1.34915701/totokp/02,True
30/11/2018-09:47 2.1.34 30314/ri sma/01,2.1.3430314/risma/01,2.1.3430314/risma/01,True
02/12/2018-18:07 2.1.34 721115/anisa/01,2.1.34721115/anisa/01,2.1.34721115/anisa/01,True
03-12-2018 10:53:00) 705 06 00066,7050600066,7050600066,True
05-11-2018 19:07:46 t747-888-0511wuh7,t747-888-0511wuh7,t747-888-0511wuh7,True
31/10/2018-21:23 2.1.31 14798/susi/01,2.1.3114798/susi/01,2.1.3114798/susi/01,True
03/12/2018-17:49 2.1.34 15372/lulukss/01,2.1.3415372/lulukss/01,2.1.3415372/lulukss/01,True
04/12/2018-18:50 2.1.34 937/febrians/02,2.1.34937/febrians/02,2.1.34937/febrians/02,True
23/11/2018-11:10 2.1.34 494908/tri/01,2.1.34494908/tri/01,2.1.34494908/tri/01,True
05/12/2018-12:58 2.1.34 30349/siti ari/01,2.1.3430349/sitiari/01,2.1.3430349/sitiari/01,True
05/12/2018-14:23 2.1.34 91437/jesie/01,2.1.3491437/jesie/01,2.1.3491437/jesie/01,True
06/12/2018-12:06 2.1.34 3537/diyah ay/01,2.1.343537/diyahay/01,2.1.343537/diyahay/01,True
08/12/2018-12:19 2.1.34 4939/sunar/01,2.1.344939/sunar/01,2.1.344939/sunar/01,True
09-12-2018 17:16:10 u155-607-09124265,u155-607-09124265,u155-607-09124265,True
10-12-2018 07:54:39 td44-302-10122yu8,td44-302-10122yu8,td44-302-10122yu8,True
19/12/2018-14:30 2.1.34 150272/rahmat/02,2.1.34150272/rahmat/02,2.1.34150272/rahmat/02,True
19/12/2018-18:06 2.1.34 451149/nur/01,2.1.34451149/nur/01,2.1.34451149/nur/01,True
19/12/2018-19:07 2.1.34 972499/tiasilv/01,2.1.34972499/tiasilv/01,2.1.34972499/tiasilv/01,True
19-12-2018 08:57:12 c072-107-19125xcz,c072-107-19125xcz,c072-107-19125xcz,True
26/08/2018-10:11 2.1.30 36372/dhena/01,2.1.3036372/dhena/01,2.1.3036372/dhena/01,True
24-03-2018 21:04:40 u364-600-2408dmux,u364-600-2408dmux,u364-600-2408dmux,True
26/08/2018-10:32 2.1.30 301435/dwi ant/01,2.1.30301435/dwiant/01,2.1.30301435/dwiant/01,True
26/08/2018-11:16 2.1.30 45330/tia muti/01,2.1.3045330/tiamuti/01,2.1.3045330/tiamuti/01,True
26-08-2018 15:38:46 x750-103-26084uw9,x750-103-26084uw9,x750-103-26084uw9,True
26/08/2018-19:43 2.1.30 45147/ripah/01,2.1.3045147/ripah/01,2.1.3045147/ripah/01,True
26-08-2018 13:13:47 mc53-171-2608v8ux,mc53-171-2608v8ux,mc53-171-2608v8ux,True
31-08-2018 08:35:04 b645-300-31089426,b645-300-31089426,b645-300-31089426,True
31-08-2018 07:37:21 sf36-512-3108dmu6,sf36-512-3108dmu6,sf36-512-3108dmu6,True
28/08/2018-15:31 2.1.30 315/anis wu/01,2.1.30315/aniswu/01,2.1.30315/aniswu/01,True
01/09/2018-14:40 2.1.30 45314/yayah ka/01,2.1.3045314/yayahka/01,2.1.3045314/yayahka/01,True
30/08/2018-17:01 2.1.30 30724/putri/01,2.1.3030724/putri/01,2.1.3030724/putri/01,True
01-09-2018 16:57:32 v035-887-010976k8,v035-887-010976k8,v035-887-010976k8,True
01/09/2018-20:40 2.1.30 491472/ayu/01,2.1.30491472/ayu/01,2.1.30491472/ayu/01,True
01/09/2018-22:19 2.1.30 1474526/windi/02,2.1.301474526/windi/02,2.1.301474526/windi/02,True
30/08/2018-14:38 2.1.30 936494/fauzi z/02,2.1.30936494/fauziz/02,2.1.30936494/fauziz/02,True
5350 c1 in1452 179430 20:23 02/09/2018,5350c1in1452179430,5350c1in1452179430,True
02-09-2018 20:13 000806,2.1.301436330/siti/03,000806,False
03/09/2018-13:53 2.1.30 45308/bayu/02,2.1.3045308/bayu/02,2.1.3045308/bayu/02,True
03/09/2018-13:53 2.1.30 949315/riska/01,2.1.30949315/riska/01,2.1.30949315/riska/01,True
02/09/2018-17:54 2.1.30 72314/yuliani/01,2.1.3072314/yuliani/01,2.1.3072314/yuliani/01,True
03/09/2018-15:39 2.1.30 14140272/dian/01,2.1.3014140272/dian/01,2.1.3014140272/dian/01,True
02-09-2018 (16:02:43) 704 01 00092,7040100092,7040100092,True
03/09/2018-18:32 2.1.30 97304/tania/01,2.1.3097304/tania/01,2.1.3097304/tania/01,True
02/09/2018-21:44 2.1.30 14301501/karti/01,2.1.3014301501/karti/01,2.1.3014301501/karti/01,True
03/09/2018-19:44 2.1.30 49372/jay/01,2.1.3049372/jay/01,2.1.3049372/jay/01,True
24/08/2018-17:58 2.1.30 30314/alvin sa/01,2.1.3030314/alvinsa/01,2.1.3030314/alvinsa/01,True
03/10/2018-17:51 2.1.30 361408/rani/01,2.1.30361408/rani/01,2.1.30361408/rani/01,True
02/10/2018-17:16 2.1.30 36330/dewi/01,2.1.3036330/dewi/01,2.1.3036330/dewi/01,True
03/10/2018-15:30 2.1.30 49369/dika/01,2.1.3049369/dika/01,2.1.3049369/dika/01,True
04/10/2018-10:57 2.1.30 153601/sinta f/02,2.1.30153601/sintaf/02,2.1.30153601/sintaf/02,True
04/10/2018-09:24 2.1.30 351435/iga/01,2.1.30351435/iga/01,2.1.30351435/iga/01,True
04/10/2018-15:54 10 2.1.30 91401/sumar di/01,102.1.3091401/sumardi/01,102.1.3091401/sumardi/01,True
05/10/2018-09:13 2.1.31 91145/veny sup/01,2.1.3191145/venysup/01,2.1.3191145/venysup/01,True
04/10/2018-17:17 2.1.30 72349/khusnul/01,2.1.3072349/khusnul/01,2.1.3072349/khusnul/01,True
04-10-2018 17:49:33 eb74-205-041ctvm2,eb74-205-041ctvm2,eb74-205-041ctvm2,True
04-10-2018 17:05:00 mb45-108-04105478,mb45-108-04105478,mb45-108-04105478,True
04/10/2018-18:12 2.1.30 72909/leni rah/01,2.1.3072909/lenirah/01,2.1.3072909/lenirah/01,True
04-10-2018 (11:47:45) 741 01 00068,7410100068,7410100068,True
20/12/2018-15:25 2.1.34 372/mutia fe/01,2.1.34372/mutiafe/01,2.1.34372/mutiafe/01,True
20/12/2018-13:02 2.1.34 91539/tiara/01,2.1.3491539/tiara/01,2.1.3491539/tiara/01,True
19/12/2018-20:02 2.1.34 15349/ika siti/02,2.1.3415349/ikasiti/02,2.1.3415349/ikasiti/02,True
20-12-2018 01:52:30 bf04-789-2012m367,bf04-789-2012m367,bf04-789-2012m367,True
19/12/2018-21:41 2.1.34 930314/nur syi/01,2.1.34930314/nursyi/01,2.1.34930314/nursyi/01,True
22/12/2018-20:22 2.1.34 723601/indra n/01,2.1.34723601/indran/01,2.1.34723601/indran/01,True
22-12-2018 20:51:11 0629-404-2212h763,0629-404-2212h763,0629-404-2212h763,True
23/12/2018-13:22 2.1.34 1539/rudy/02,2.1.341539/rudy/02,2.1.341539/rudy/02,True
02/10/2018-19:09 2.1.30 9153001/mitha 701,2.1.309153001/mitha701,2.1.309153001/mitha701,True
05/10/2018-10:31 2.1.30 491409/dina/01,2.1.30491409/dina/01,2.1.30491409/dina/01,True
05/10/2018-19:21 2.1.30 99349/elisa ap/01,2.1.3099349/elisaap/01,2.1.3099349/elisaap/01,True
06-10-2018 09:48:20 sc49-306-0610d8v4,sc49-306-0610d8v4,sc49-306-0610d8v4,True
06/10/2018-09:12 2.1.30 301401/taufik/01,2.1.30301401/taufik/01,2.1.30301401/taufik/01,True
06/10/2018-10:20 2.1.30 9937/maya/01,2.1.309937/maya/01,2.1.309937/maya/01,True
06/10/2018-11:45 2.1.30 97159/gunawan/01,2.1.3097159/gunawan/01,2.1.3097159/gunawan/01,True
05-10-2018 20:09:58 p546-102-0510cz34,p546-102-0510cz34,p546-102-0510cz34,True
06-10-2018 15:25:04 1ap4-568-0610763x,1ap4-568-0610763x,1ap4-568-0610763x,True
06/10/2018-16:00 2.1.31 151136/henny r/01,2.1.31151136/hennyr/01,2.1.31151136/hennyr/01,True
05-10-2018 14:20:12 m641-607-05102t56,m641-607-05102t56,m641-607-05102t56,True
05/10/2018-21:36 2.1.30 915330/lulukss/01 5,2.1.30915330/lulukss/015,2.1.30915330/lulukss/015,True
06-10-2018 16:47:37 m361-703-06109tv4 matu,m361-703-06109tv4,m361-703-06109tv4matu,False
06/10/2018 16:28 4210 16 159829,421016159829,421016159829,True
06/10/2018-18:16 2.1 30 30372/anissa/01,2.13030372/anissa/01,2.13030372/anissa/01,True
06/10/2018-18:13 2.1.30 1539/linawati/01 d1 16,2.1.301539/linawati/01,2.1.301539/linawati/01d116,False
06/10/2018-18:06 2.1.30 4939/wia/01,2.1.304939/wia/01,2.1.304939/wia/01,True
05/10/2018-12:51 2.1.30 9737/oktavian/01,2.1.309737/oktavian/01,2.1.309737/oktavian/01,True
23-12-2018 05:46:41 2j86-212-2312zkh5,2j86-212-2312zkh5,2j86-212-2312zkh5,True
23-12-2018 (16:34:45) 705 04 00209,7050400209,7050400209,True
23-12-2018 18:59:28 ka67-306-2312dy7x,ka67-306-2312dy7x,ka67-306-2312dy7x,True
22-12-2018 17:57:12 uc03-150-2212wvm9,uc03-150-2212wvm9,uc03-150-2212wvm9,True
23/12/2018-12:55 2.1.34 301472/arini/02,2.1.34301472/arini/02,2.1.34301472/arini/02,True
23/12/2018-12:46 2.1.34 1497208/childa/02,2.1.341497208/childa/02,2.1.341497208/childa/02,True
22/12/2018-17:54 2.1.34 45908/childa/02,2.1.3445908/childa/02,2.1.3445908/childa/02,True
24-12-2018 01:19:29 b033-750-2412ky76,b033-750-2412ky76,b033-750-2412ky76,True
22/12/2018-17:27 2.1.34 1537/ratna ay/01,2.1.341537/ratnaay/01,2.1.341537/ratnaay/01,True
06/10/2018-21:30 2.1.30 1591445/nanda/02,2.1.301591445/nanda/02,2.1.301591445/nanda/02,True
06/10/2018-21:46 2.1.30 1415729/anis/01,2.1.301415729/anis/01,2.1.301415729/anis/01,True
05/10/2018-22:48 2.1.30 1430372/rengga/01,2.1.301430372/rengga/01,2.1.301430372/rengga/01,True
07/10/2018-11:23 2.1.30 97372/amelia n/01,2.1.3097372/amelian/01,2.1.3097372/amelian/01,True
07/10/2018-10:13 2.1.31 351114/yuli se/02,2.1.31351114/yulise/02,2.1.31351114/yulise/02,True
07/10/2018-12:32 2.1.30 9304501/yoenik/01,2.1.309304501/yoenik/01,2.1.309304501/yoenik/01,True
24/09/2018-12:46 2.1.30 97135/riska/01,2.1.3097135/riska/01,2.1.3097135/riska/01,True
07/10/2018-19:03 2.1.30 721508/iif mif/01,2.1.30721508/iifmif/01,2.1.30721508/iifmif/01,True
06/10/2018-21:53 2.1.30 1472148/dila/01,2.1.301472148/dila/01,2.1.301472148/dila/01,True
07/10/2018-17:29 2.1.31 151135/arni/02,2.1.31151135/arni/02,2.1.31151135/arni/02,True
07/10/2018-15:40 2.1.30 9335/siti mif/01,2.1.309335/sitimif/01,2.1.309335/sitimif/01,True
04-09-2018 23:13:51 m652-606-04099 yv8,m652-606-04099yv8,m652-606-04099yv8,True
07-10-2018 15:44:34 m782-601-0710hdx3,m782-601-0710hdx3,m782-601-0710hdx3,True
08/10/2018-19:33 02/1.30 9147201/yogi a/01,02/1.309147201/yogia/01,9147201/yogia/01,False
08/10/2018-13:55 2.1.30 45135/sinta am/01,2.1.3045135/sintaam/01,2.1.3045135/sintaam/01,True
08/10/2018-19:33 2.1.30 94937/dandy/01,2.1.3094937/dandy/01,2.1.3094937/dandy/01,True
08/10/2018-11:54 2.1.30 97299/cut sher/01,2.1.3097299/cutsher/01,2.1.3097299/cutsher/01,True
10-10-2018 06:21:25 sc28-422-10102824,sc28-422-10102824,sc28-422-10102824,True
10/10/2018-10:23 2.1.30 15349/nurul/01 10-10-2018 10:24,2.1.3015349/nurul/01,2.1.3015349/nurul/01,True
24/12/2018-10:46 2.1.34 4598/novi/01,2.1.344598/novi/01,2.1.344598/novi/01,True
29/08/2018-17:34 2.1.30 30701/reni dwi/01,2.1.3030701/renidwi/01,2.1.3030701/renidwi/01,True
24-12-2018 16:13:16 y284-603-24129856,y284-603-24129856,y284-603-24129856,True
24/12/2018-17:30 2.1.34 36701/intan pu/01,2.1.3436701/intanpu/01,2.1.3436701/intanpu/01,True
24-12-2018 19:01:54 j707-500-24125xv8,j707-500-24125xv8,j707-500-24125xv8,True
24/12/2018-19:46 2.1.34 364909/zainuri/02 24-12-2018 19:46,2.1.34364909/zainuri/02,2.1.34364909/zainuri/02,True
24/12/2018-15:24 2.1.34 1415336/riska/01,2.1.341415336/riska/01,2.1.341415336/riska/01,True
24-12-2018 (15:50:13) 700 01 00015,7000100015,7000100015,True
14-12-2018 21:02:26 k494-789-1412h323,k494-789-1412h323,k494-789-1412h323,True
24-12-2018 (10:10:06) 706 05 00083,7060500083,7060500083,True
0416 00001 6424 25/12/2018 416305 08:32:57,0416000016424416305,0416000016424416305,True
24/12/2018-20:32 2.1.34 450249/pia/01,2.1.34450249/pia/01,2.1.34450249/pia/01,True
10-10-2018 19:01:36 vc60-806-1010x2y3,vc60-806-1010x2y3,vc60-806-1010x2y3,True
10/10/2018-22:59 2.1.30 36315/rizki/01,2.1.3036315/rizki/01,2.1.3036315/rizki/01,True
09/10/2018-12:54 2.1.30 35315/indrii/01,2.1.3035315/indrii/01,2.1.3035315/indrii/01,True
10/10/2018-09:46 2.1.30 335/jaka/02,2.1.30335/jaka/02,2.1.30335/jaka/02,True
11/10/2018-12:06 2.1.30 491115/tika/01,2.1.30491115/tika/01,2.1.30491115/tika/01,True
11/10/2018-13:39 2.1.30 30358/eka rest/01,2.1.3030358/ekarest/01,2.1.3030358/ekarest/01,True
10/10/2018-19:40 2.1.30 1436315/fitria/01,2.1.301436315/fitria/01,2.1.301436315/fitria/01,True
11/10/2018-20:48 2.1.30 14494/dedy/02,2.1.3014494/dedy/02,2.1.3014494/dedy/02,True
14/10/2018-12:43 2.1.31 9151149/mega/01 rt 031,2.1.319151149/mega/01031,2.1.319151149/mega/01rt031,False
13-10-2018 20:09:52 1p05-159-13105m76 1p05-159-131,1p05-159-1311p05-159-13105m76,1p05-159-13105m761p05-159-131,False
14-10-2018 20:09:38 x670-456-1410y3h7,x670-456-1410y3h7,x670-456-1410y3h7,True
15/10/2018-11:32 2.1.30 9530/rian/02,2.1.309530/rian/02,2.1.309530/rian/02,True
15/10/2018-12:19 2.1.30 45315/maya/01,2.1.3045315/maya/01,2.1.3045315/maya/01,True
29-12-2018 17:37:22 ka01-808-29124kw7,ka01-808-29124kw7,ka01-808-29124kw7,True
29-12-2018 14:17:41 sf15-532-2912mvx9,sf15-532-2912mvx9,sf15-532-2912mvx9,True
30-12-2018 17:02:16 v154-654-30125tkx,v154-654-30125tkx,v154-654-30125tkx,True
31-12-2018 11:34:50 m730-609-31126v43,m730-609-31126v43,m730-609-31126v43,True
31-12-2018 11:45:16 ac53-801-311289x9,ac53-801-311289x9,ac53-801-311289x9,True
31/12/2018-13:09 2.1.34 935708/andrian/01,2.1.34935708/andrian/01,2.1.34935708/andrian/01,True
31-12-2018 13:38:22 kb89-309-3112x7z3,kb89-309-3112x7z3,kb89-309-3112x7z3,True
31/12/2018-12:17 2.1.34 915145/neng si/01,2.1.34915145/nengsi/01,2.1.34915145/nengsi/01,True
31-12-2018 10:55:22 t531-112-31129zu6,t531-112-31129zu6,t531-112-31129zu6,True
30/12/2018-16:50 2.1.34 1439/riza/01 31-12-2018 17:04,2.1.341439/riza/01,2.1.341439/riza/01,True
30/12/2018-16:25 2.1.34 36368/lita ari/01,2.1.3436368/litaari/01,2.1.3436368/litaari/01,True
31/12/2018-18:01 2.1.34 4937/nanda/01,2.1.344937/nanda/01,2.1.344937/nanda/01,True
31/12/2018-12:18 2.1.34 15359/dewi/02,2.1.3415359/dewi/02,2.1.3415359/dewi/02,True
